Group Name(3) – Members(Micah Edington, Ryan Alcantra, Brandon Miller)
    Lexeme          Token
    ------          -----
  Function        Keyword
       Add     Identifier
         (      Separator
   Integer        Keyword
         A     Identifier
         ,      Separator
   Integer        Keyword
        CC     Identifier
         )      Separator
         {      Separator
    Return        Keyword
         (      Separator
         A     Identifier
         +       Operator
        CC     Identifier
         )      Separator
         ;      Separator
         }      Separator
  Function        Keyword
       Sub     Identifier
         (      Separator
   Integer        Keyword
         A     Identifier
         ,      Separator
   Integer        Keyword
        CC     Identifier
         )      Separator
         {      Separator
    Return        Keyword
         (      Separator
         A     Identifier
         -       Operator
        CC     Identifier
         )      Separator
         ;      Separator
         }      Separator
   Integer        Keyword
         A     Identifier
         ;      Separator
   Integer        Keyword
         B     Identifier
         ;      Separator
         A     Identifier
         =       Operator
         5        Integer
         ;      Separator
         B     Identifier
         =       Operator
         5        Integer
         ;      Separator
       Add     Identifier
         (      Separator
         A     Identifier
         ,      Separator
         B     Identifier
         )      Separator
         ;      Separator
       Sub     Identifier
         (      Separator
         A     Identifier
         ,      Separator
         B     Identifier
         )      Separator
         ;      Separator
